month,deaths,week
0.1272,0.01209,1
0.3883,0.01929,2
0.6427,0.01587,3
0.9038,0.02173,4
1.158,0.03712,5
1.406,0.03309,6
1.674,0.04786,7
1.941,0.05678,8
2.196,0.0779,9
2.457,0.07717,10
2.705,0.07289,11
2.966,0.07326,12
3.213,0.03516,13
3.474,0.05543,14
3.736,0.03565,15
3.997,0.02943,16
4.244,0.01673,17
4.512,0.01233,18
4.767,0.01465,19
5.034,0.01001,20
5.289,0.01343,21
5.556,0.01636,22
5.797,0.01355,23
6.065,0.0127,24
6.32,0.01221,25
6.581,0.008181,26
6.828,0.007326,27
7.09,0.007814,28
7.351,0.008547,29
7.618,0.007326,30
7.873,0.005372,31
