x,y
0.5,0.73577
1,2.7117
1.5,4.2603
2,4.8258
2.5,5.1467
3,4.7362
3.5,4.0969
4,2.8627
4.5,1.7679
5,1.3551
5.5,1.0258
6,0.78169
6.5,0.56572
7,0.71623
7.5,0.75341
8,0.75339
8.5,0.81358
9,0.81567
9.5,0.81568
10,0.8145
10.5,0.75395
11,0.75285
11.5,0.75288
12,0.75288
12.5,0.75287
13,0.75332
13.5,0.77813
14,0.88383
14.5,1.1335
15,2.3359
15.5,3.698
16,5.3075
16.5,7.2386
17,10.129
17.5,13.466
18,17.78
18.5,21.574
19,23.056
19.5,23.756
20,21.89
20.5,19.668
21,18.974
21.5,18.587
22,18.161
22.5,17.435
23,14.571
23.5,11.663
24,9.059
24.5,6.6295
25,5.4433
25.5,4.3619
26,3.1455
26.5,2.0445
27,1.6181
27.5,1.318
28,1.2272
28.5,1.111
29,0.94526
29.5,0.76368
30,0.75254
30.5,0.75104
31,0.89179
31.5,1.0829
32,1.5449
32.5,2.1225
33,3.2995
33.5,4.6232
34,6.9224
34.5,8.9659
35,10.199
35.5,11.038
36,10.343
36.5,9.4677
37,8.2362
37.5,6.98
38,5.5065
38.5,4.1957
39,3.5063
39.5,2.9213
40,2.4238
40.5,2.053
41,2.2521
41.5,2.3675
42,1.7561
42.5,1.1871
43,1.0015
43.5,0.50284
