week,deaths
1/4/2020,4
1/11/2020,3
1/18/2020,3
1/25/2020,3
2/1/2020,1
2/8/2020,2
2/15/2020,0
2/22/2020,5
2/29/2020,9
3/7/2020,35
3/14/2020,57
3/21/2020,575
3/28/2020,3176
4/4/2020,10072
4/11/2020,16236
4/18/2020,17105
4/25/2020,15482
5/2/2020,13180
5/9/2020,11208
5/16/2020,9195
5/23/2020,7211
5/30/2020,6149
6/6/2020,5026
6/13/2020,4221
6/20/2020,3827
6/27/2020,3814
7/4/2020,4524
7/11/2020,5752
7/18/2020,7163
7/25/2020,8197
8/1/2020,8268
8/8/2020,7826
8/15/2020,7217
8/22/2020,6347
8/29/2020,5704
9/5/2020,4986
9/12/2020,4593
9/19/2020,4236
9/26/2020,4250
10/3/2020,4184
10/10/2020,4742
10/17/2020,5090
10/24/2020,5871
10/31/2020,6867
11/7/2020,8387
11/14/2020,10237
11/21/2020,12928
11/28/2020,15098
12/5/2020,17928
12/12/2020,20034
12/19/2020,21231
12/26/2020,22041
1/2/2021,22920
1/9/2021,22788
1/16/2021,20973
1/23/2021,17296
1/30/2021,13185
2/6/2021,9719
2/13/2021,5541
2/20/2021,1350
