state_name,pop,area,deaths,density
Alabama,4903185,52423,7340,93.53117906
Alaska,731545,656425,262,1.114438055
Arizona,7278717,114006,12819,63.84503447
Arkansas,3017804,53182,4784,56.74483848
California,39512223,163707,39574,241.3593982
Colorado,5758736,104100,5569,55.31926993
Connecticut,3565287,5544,7020,643.0892857
Delaware,973764,1954,1075,498.3439099
District of Columbia,705749,68,902,10378.66176
Florida,21477737,65758,26035,326.6178564
Georgia,10617423,59441,13827,178.6212042
Hawaii,1415872,10932,405,129.5162825
Idaho,1787065,83574,1721,21.38302582
Illinois,12671821,57918,21073,218.7889948
Indiana,6732219,36420,9879,184.8495058
Iowa,3155070,56276,4532,56.06421921
Kansas,2913314,82282,3707,35.40645585
Kentucky,4467673,40411,3611,110.5558635
Louisiana,4648794,51843,8743,89.67062091
Maine,1344212,35387,567,37.98604007
Maryland,6045680,12407,7037,487.2797614
Massachusetts,6892503,10555,14348,653.0083373
Michigan,9986857,96810,15402,103.1593534
Minnesota,5639632,86943,6208,64.86585464
Mississippi,2976149,48434,5945,61.44751621
Missouri,6137428,69709,7011,88.04355248
Montana,1068778,147046,1210,7.268324198
Nebraska,1934408,77358,1921,25.00592053
Nevada,3080156,110567,4181,27.85782376
New Hampshire,1359711,9351,1022,145.4080847
New Jersey,8882190,8722,21301,1018.3662
New Mexico,2096829,121593,3226,17.24465224
New York,19453561,54475,43093,357.1098853
North Carolina,10488084,53821,9046,194.8697349
North Dakota,762062,70704,1442,10.77820208
Ohio,11689100,44828,11006,260.7544392
Oklahoma,3956971,69903,3423,56.60659771
Oregon,4217737,98386,1930,42.86928018
Pennsylvania,12801989,46058,21264,277.9536454
Puerto Rico,3193694,3515,1801,908.5900427
Rhode Island,1059361,1545,2144,685.6705502
South Carolina,5148714,32007,6903,160.8621239
South Dakota,884659,77121,1763,11.47105198
Tennessee,6829174,42146,9417,162.0361126
Texas,28995881,268601,36292,107.9515006
Utah,3205958,84904,1620,37.7597993
Vermont,623989,9615,172,64.8974519
Virginia,8535519,42769,6308,199.5725642
Washington,7614893,71303,4243,106.7962498
West Virginia,1792147,24231,1983,73.96091783
Wisconsin,5822434,65503,6334,88.88805093
Wyoming,578759,97818,596,5.916692224
