Entity,Code,Date,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages
United States,USA,1/5/2020,60158,60340.4,61731,55784,59760,66129,58298
United States,USA,1/12/2020,60713,60696.4,61135,55523,60975,67491,58358
United States,USA,1/19/2020,59344,59188.8,58622,55178,59286,64641,58217
United States,USA,1/26/2020,59138,58318.4,57264,55602,58045,62777,57904
United States,USA,2/2/2020,58796,57943,57277,54891,58426,60972,58149
United States,USA,2/9/2020,59364,58035.6,56413,55103,59036,61107,58519
United States,USA,2/16/2020,58782,57673.4,56342,55781,58473,59774,57997
United States,USA,2/23/2020,58857,56919.4,55659,54862,58282,57790,58004
United States,USA,3/1/2020,59269,56700.6,55724,55871,57250,56690,57968
United States,USA,3/8/2020,59633,56893.4,55262,56106,57468,57089,58542
United States,USA,3/15/2020,58632,55917.6,54253,54452,56650,56317,57916
United States,USA,3/22/2020,59164,55556,53229,54660,57041,55758,57092
United States,USA,3/29/2020,62972,54831.6,52999,53879,55695,54913,56672
United States,USA,4/5/2020,72243,54756.6,52690,54059,55153,55285,56596
United States,USA,4/12/2020,79033,54378,52839,53484,54858,55223,55486
United States,USA,4/19/2020,76726,53261.6,51603,53144,53067,54031,54463
United States,USA,4/26/2020,73842,52628,51457,51020,53289,53719,53655
United States,USA,5/3/2020,69245,52657.8,51651,51266,52653,53734,53985
United States,USA,5/10/2020,66767,51843.4,50667,50992,51981,52101,53476
United States,USA,5/17/2020,64431,51289.8,49324,50461,52476,50617,53571
United States,USA,5/24/2020,61563,51155.4,49713,50487,50965,50923,53689
United States,USA,5/31/2020,59610,50749.6,49033,49706,51248,51037,52724
United States,USA,6/7/2020,58826,51240.8,49743,49914,51412,51998,53137
United States,USA,6/14/2020,57958,50764.6,49101,49906,50790,51383,52643
United States,USA,6/21/2020,57918,50637.8,49053,49617,51190,51043,52286
United States,USA,6/28/2020,58419,50523.4,49207,49743,50611,50851,52205
United States,USA,7/5/2020,59746,50716.2,48908,49695,50956,51681,52341
United States,USA,7/12/2020,61829,50387.6,49220,49632,49971,51188,51927
United States,USA,7/19/2020,63065,50034.4,48538,49266,50118,50604,51646
United States,USA,7/26/2020,64135,49845.6,48256,49690,49359,50267,51656
United States,USA,8/2/2020,64112,49870,47728,49501,50084,50633,51404
United States,USA,8/9/2020,63583,50128,47972,49734,50229,50963,51742
United States,USA,8/16/2020,63480,49946.4,48430,49806,50184,50295,51017
United States,USA,8/23/2020,62351,49794.4,48487,49502,49513,50453,51017
United States,USA,8/30/2020,60865,50173,48714,49573,50823,50600,51155
United States,USA,9/6/2020,59912,50382.8,48758,50066,50972,50292,51826
United States,USA,9/13/2020,59302,50632,48851,49907,51691,51081,51630
United States,USA,9/20/2020,59270,50729.6,49222,49871,51226,51576,51753
United States,USA,9/27/2020,59967,50818,48802,50248,51338,50951,52751
United States,USA,10/4/2020,58676,51870.8,50947,51394,52102,52348,52563
United States,USA,10/11/2020,59942,51691,49829,52120,51570,51846,53090
United States,USA,10/18/2020,58431,52322.6,50658,51434,52215,52971,54335
United States,USA,10/25/2020,59855,52515.2,50378,51860,52536,53757,54045
United States,USA,11/1/2020,60976,52853.4,51154,51734,53663,53632,54084
United States,USA,11/8/2020,64356,53133.4,50666,52516,53233,53558,55694
United States,USA,11/15/2020,65696,53830.2,51383,53432,53762,54694,55880
United States,USA,11/22/2020,67990,53893.8,51193,53120,54117,54844,56195
United States,USA,11/29/2020,69304,54350,51989,54492,54756,55055,55458
United States,USA,12/6/2020,72870,55505.2,53549,55125,55590,55962,57300
United States,USA,12/13/2020,76296,55841.2,51835,55973,57363,56380,57655
United States,USA,12/20/2020,75308,56576.8,52756,56686,59500,56523,57419
